VARIABLES = "X", "Y", "VELOCITY_X", "VELOCITY_Y", "PRESSURE"
ZONE I=128, J=64, F=POINT
0.976563 0.0390625 9.21946e-05 -1.63137e-06 1.3012e-05
0.992188 0.0390625 9.28337e-05 -1.56033e-06 1.21759e-05
1.00781 0.0390625 9.34463e-05 -1.48973e-06 1.13179e-05
1.02344 0.0390625 9.40324e-05 -1.4197e-06 1.04381e-05
1.03906 0.0390625 9.45923e-05 -1.3504e-06 9.53656e-06
1.05469 0.0390625 9.51263e-05 -1.28194e-06 8.61342e-06
1.07031 0.0390625 9.56349e-05 -1.21449e-06 7.66887e-06
1.08594 0.0390625 9.61183e-05 -1.14818e-06 6.70317e-06
1.10156 0.0390625 9.65771e-05 -1.08315e-06 5.7166e-06
1.11719 0.0390625 9.70118e-05 -1.01955e-06 4.70954e-06
1.13281 0.0390625 9.74231e-05 -9.57515e-07 3.6824e-06
1.14844 0.0390625 9.78115e-05 -8.97163e-07 2.63564e-06
1.16406 0.0390625 9.81777e-05 -8.38616e-07 1.56978e-06
1.17969 0.0390625 9.85225e-05 -7.81978e-07 4.85392e-07
1.19531 0.0390625 9.88466e-05 -7.27344e-07 -6.16933e-07
1.21094 0.0390625 9.91509e-05 -6.74792e-07 -1.73655e-06
1.22656 0.0390625 9.94362e-05 -6.24386e-07 -2.8728e-06
1.24219 0.0390625 9.97034e-05 -5.76172e-07 -4.02498e-06
1.25781 0.0390625 9.99533e-05 -5.30182e-07 -5.19238e-06
1.27344 0.0390625 0.000100187 -4.86432e-07 -6.37427e-06
1.28906 0.0390625 0.000100405 -4.44921e-07 -7.56994e-06
1.30469 0.0390625 0.000100608 -4.05633e-07 -8.77865e-06
1.32031 0.0390625 0.000100798 -3.6854e-07 -9.99968e-06
1.33594 0.0390625 0.000100975 -3.33599e-07 -1.12323e-05
1.35156 0.0390625 0.00010114 -3.00758e-07 -1.24758e-05
1.36719 0.0390625 0.000101293 -2.69955e-07 -1.37296e-05
1.38281 0.0390625 0.000101436 -2.41119e-07 -1.49929e-05
1.39844 0.0390625 0.000101569 -2.14174e-07 -1.62652e-05
1.41406 0.0390625 0.000101694 -1.89039e-07 -1.75458e-05
1.42969 0.0390625 0.00010181 -1.6563e-07 -1.88342e-05
1.44531 0.0390625 0.000101918 -1.43858e-07 -2.01297e-05
1.46094 0.0390625 0.000102019 -1.23637e-07 -2.1432e-05
1.47656 0.0390625 0.000102114 -1.04879e-07 -2.27404e-05
1.49219 0.0390625 0.000102203 -8.74983e-08 -2.40546e-05
1.50781 0.0390625 0.000102286 -7.14099e-08 -2.53741e-05
1.52344 0.0390625 0.000102365 -5.65317e-08 -2.66985e-05
1.53906 0.0390625 0.000102439 -4.27847e-08 -2.80275e-05
1.55469 0.0390625 0.000102508 -3.00931e-08 -2.93607e-05
1.57031 0.0390625 0.000102574 -1.83845e-08 -3.06977e-05
1.58594 0.0390625 0.000102637 -7.59069e-09 -3.20383e-05
1.60156 0.0390625 0.000102696 2.3531e-09 -3.33822e-05
1.61719 0.0390625 0.000102752 1.15075e-08 -3.47292e-05
1.63281 0.0390625 0.000102806 1.99294e-08 -3.6079e-05
1.64844 0.0390625 0.000102858 2.76717e-08 -3.74315e-05
1.66406 0.0390625 0.000102907 3.47836e-08 -3.87863e-05
1.67969 0.0390625 0.000102955 4.13109e-08 -4.01435e-05
1.69531 0.0390625 0.000103001 4.72956e-08 -4.15026e-05
1.71094 0.0390625 0.000103045 5.27767e-08 -4.28638e-05
1.72656 0.0390625 0.000103088 5.77898e-08 -4.42267e-05
1.74219 0.0390625 0.000103129 6.23677e-08 -4.55914e-05
1.75781 0.0390625 0.00010317 6.65402e-08 -4.69576e-05
1.77344 0.0390625 0.000103209 7.03347e-08 -4.83253e-05
1.78906 0.0390625 0.000103248 7.37759e-08 -4.96943e-05
1.80469 0.0390625 0.000103286 7.68861e-08 -5.10647e-05
1.82031 0.0390625 0.000103323 7.96855e-08 -5.24363e-05
1.83594 0.0390625 0.000103359 8.21923e-08 -5.38091e-05
1.85156 0.0390625 0.000103394 8.44227e-08 -5.5183e-05
1.86719 0.0390625 0.000103425 8.63909e-08 -5.65579e-05
1.88281 0.0390625 0.000103384 8.81099e-08 -5.79339e-05
1.89844 0.0390625 0.00010221 8.95968e-08 -5.93108e-05
1.91406 0.0390625 8.54569e-05 9.09355e-08 -6.06887e-05
1.92969 0.0390625 -0.000114363 9.28675e-08 -6.20681e-05
1.94531 0.0390625 -0.00187439 1.00207e-07 -6.3454e-05
1.96094 0.0390625 -0.00918884 1.19319e-07 -6.48901e-05
1.97656 0.0390625 -0.018768 8.75126e-08 -6.65064e-05
1.99219 0.0390625 0.0330071 3.33329e-09 -6.82436e-05
0.0078125 0.0546875 1.06579e-06 -4.77157e-06 3.32005e-05
